TimeStamp;real;forecast;prediction_time_seconds
2026-02-10 00:00:00;2312.257;2890.8455313140116;8.19506379996892
2026-02-10 01:00:00;2445.75475;2989.4475692872065;8.19506379996892
2026-02-10 02:00:00;2738.38875;2561.9849568363293;8.19506379996892
2026-02-10 03:00:00;2507.56425;2307.5878641951444;8.19506379996892
2026-02-10 04:00:00;2972.28575;2275.2992636891277;8.19506379996892
2026-02-10 05:00:00;2894.95425;2309.116289409916;8.19506379996892
2026-02-10 06:00:00;3762.406;2577.383941714544;8.19506379996892
2026-02-10 07:00:00;2580.2795;2541.909556666578;8.19506379996892
2026-02-10 08:00:00;4036.3455;2594.227559472237;8.19506379996892
2026-02-10 09:00:00;3671.19375;2651.064799366154;8.19506379996892
2026-02-10 10:00:00;2416.94175;3525.1948425641976;8.19506379996892
2026-02-10 11:00:00;2677.89175;3586.04804904289;8.19506379996892
2026-02-10 12:00:00;1806.73475;2632.2257727477067;8.19506379996892
2026-02-10 13:00:00;3154.1665;2764.02850823405;8.19506379996892
2026-02-10 14:00:00;2227.19575;2765.2442977891974;8.19506379996892
2026-02-10 15:00:00;2543.43525;2567.68043552318;8.19506379996892
2026-02-10 16:00:00;2576.265;2795.994411654357;8.19506379996892
2026-02-10 17:00:00;5342.617;4027.315161855035;8.19506379996892
2026-02-10 18:00:00;5926.32475;4582.407241367553;8.19506379996892
2026-02-10 19:00:00;3875.02825;3713.593071548543;8.19506379996892
2026-02-10 20:00:00;4273.53175;3544.963594471184;8.19506379996892
2026-02-10 21:00:00;2881.09475;3928.2849564741928;8.19506379996892
2026-02-10 22:00:00;2286.139;2629.179654768553;8.19506379996892
2026-02-10 23:00:00;3057.192;3291.320446451745;8.19506379996892
